sentence,label
"Перед барином выслуживаешься холоп?
",1
"На комп нужен хороший блок питания, который сам является стабилизатором.
",1
а как по твоему происходит разгрузка товаров в магазинах? ну земля тебе пухом тогда братишка,1
"у тебя что, ИНТОКСИКАЦИЯ УКРАИНСКИМ МИРОМ?
",1
"ОТПРАВИМ ТАРАСОВ В ГУЛАГИ, ПАНУЮТ ПУСКАЙ В ВОРКУТЕ, ПУСТЬ СТРОЯТ МОСТЫ, ДОХОДЯГИ, И СМОТРЯТ КАНАЛ ОРТ
",1
"Просил почесать пузико
",1
"Прибыль или выручка? Мне чет сдается люди термины путают. Да и выручка какой-то базарный сленг. Доходом это называется.
",1
"Мы дрочим не на простых тян, если ты не догадывался. Отучаемся говорить за всех.",1
война - продолжение политики другими средствами,1
"Этим писюном переебали столько тян, сколько ты за 10 жизней не переебёшь.
",1
"Пиздец одни хачи. Стоило назваться хачеградом.
",1
"На соплях замешанный. Больно светловат.
",1
"Пидорван пидорнулся в пидорешт, пидранем за пидрокой
",1
"вот ты мне только что написал тебя найдут и отпиздят . то есть прямо точно. не может быть, а все, пиздец, никуда не уйти. и теперь ты отказываешься прислать ОДИН БЛЯДЬ случай? Я, кстати, сам то поискал, и значешь что?? НЕ НАШЕЛ БЛЯДЬ!!! Вот ведь сюрприз то. Я найти не могу, тебе влом так передо мной унижаться. Ну хуле. так и живем кукарекнул и в кусты
",1
"Ели работник оформлен легально, платит все налоги, его работодатель делает положенные отчисления в пенсионный фонд, почему он не должен получать пенсию?
",1
"Что. ты. несёшь. дегенерат?
",1
"Хотя смысл тебе чтото доказывать. Тыж фанат пидрильного клуба, любителей пощекотать очко(биотварей). Вот с этого и стоило начинать, я бы тогда не тратил время на такого сверхразума, как ты.
",1
хохложиды оправдываются смищными пикрилами,1
"вот теперь мне понравилось.
",1
"Во времена корейской войны управляемые ракеты ещё не придумали, так что успешно применяли всё те же пушки и пулемёты, что и во Вторую Мировую.
",1
"Бляяяяяя, он опять порвался, что совок унижают
",1
"А что тут годного? Это же просто какие то уроды
",1
Скорее просто вольная фантазия,1
"Крохотный то крохотный, да пикабушник
",1
"За тупость местных - ты не прав, по себе судить нельзя. В остальном верно.
",1
"Ну ты поди пораньше работать кончаешь мб?)
",1
"Учителишки отсосут танкам Абрамс
",1
"Народ сам покупает дешевку. То что вы хотите, покупаю мало потребителей
",1
"тебе похуй на жителей донбасса А тебе нет? Ты чувствуешь к ним эмпатию?
",1
"Ну так а причины почему он это сделал?
",1
"Это ты своей маме и сестре родной? С утра?
",1
"Почему ты зовешь это черрепиканием, ты ебанутый? Это восточнославянская внешность. А какая по твоему в россии внешность преобладает среди русичей?
",1
"Просто приди к ней домой и скажи - ты классная , даввай сходим куда нибудь !",1
"Президент Казахстана переименовал Астану в Нур-Султан Подробнее на РБК:
",1
Загуглите Пассивная безопасность опор освещения,1
Бауманка астанавитесь,1
"Аааа, ясно как ты знаешь США, наверное по твоему тут и негров линчуют А я своими глазами видел в прошлом году гей парад, который не то что разгоняли, там участвовали геи-копы, геи-политики, геи-пожарные, геи-медики итп Поэтому не вижу смысла продолжать спорить с человеком, который знает об Америке только с заголовков газет, лучше полюбуйся на фотки гей парадов в США на которых я был
",1
"у мочевика пересменка походу, скоро удалят забанят
",1
"И кто же тебя обоссал на этот раз, россиянец?
",1
"АНАЛитики жизни ютюба подоспели
",1
"Нет, ты что, так нельзя! Они достойны премии!
",1
